Video ID,Title,Comment
UP8FaVgq1Yk,Coronavirus/Nike Shuts Down Will This Effect Release Dates,What’s up locc dope live
UP8FaVgq1Yk,Coronavirus/Nike Shuts Down Will This Effect Release Dates,I have a Court date today and the lawyer called me and said it is shut down for two weeks
UP8FaVgq1Yk,Coronavirus/Nike Shuts Down Will This Effect Release Dates,Shit's crazy bro I'm already working from home please stay safe. 🙏🏻🙏🏻🙏🏻
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,tha bonaid agus drathais orm
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,why should we accept sturgeon on science when she blames smoking for the rise in cancer whilst she covers up for her red russian pals pumping out radiation from the damaged but still operational chernobly powerplant. why is everyone in the uk covering up this rise in cancer directly attributable to the soviets is it because nicola is a closest socialist waiting to turn scotland in mac-north korea a pariah in europe that the germans spanish and french dont want in the EU. that would have very little forgien trade except in the human beings they import to inflate nationalist votes and give the jobs which the scottish people have been given which a scotsman or lady wouldnt give to their fuckin pet goldfish
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,🦠🦠🦠   CCP Virus follows CCP followers       REJECT CCP = REJECT the VIRUS 🦠🦠🦠
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,Haha Miss Independance...who wants to be a Union member. Lol
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,Adolf sturgeon is power mad and the sooner that the SNP get rid of the krankie lunatic the better...
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,Top Minister if I do say so myself 🏴󠁧󠁢󠁳󠁣󠁴󠁿👌
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,He or she who protects the nation is never in breach of the law.
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,Where’s Sturgeon getting her hair done. That’s no home trim.
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,"So proud of our priminister Nicola Sturgeon, woman that cares about our nation,people ,workers but most importantly human life!!!!!!Hip hip S C O T L A N D!!!"
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,"Nicola should be Primer Minister in England too, has more common sense that the 10 person government 🤕🤒"
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,"The infection rate number is ""too high"", but Nicola Sturgeon can't tell us what it is, because neither can the scientists, but it's definitely too high, although they don't know if that's true. It could be low too, but we'll go with high, just because...."
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,Of course if Boris had continued the full lockdown she'd now be relaxing Scotland's.
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,"Can you imagine this bird providing you with a BJ? Wow, that would be aggressive."
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,"She's right and better than our awful Tory government.this lady has more intelligence than all of this awful Tory government.does Scotland want to swap her and have instead our awful Tory government,lucky Scotland."
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,Her accent is everything 💯
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,How come you can stand in a queue at the supermarket with strangers 2 metres apart but you are not allowed to meet up with family or friends outside and stand 2 metres apart? Makes no sense
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,The Philadelphia Journal ☆ 🕶👁
7ZuHf_Hopw4,Coronavirus: Scottish first minister Nicola Sturgeon gives briefing - watch live,covid confusion oh we will start these measures 3mths later fast acting for a so called invisible enemy or alien virus.....
